epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2085.13,0.89263,0.85221,0.88947,0.83753,0.82421,0.86805,0.67702,0.7964,0.71368,0.86993,0.000270316,0.000270316,0.000270316
43,2133.99,0.87761,0.83824,0.88746,0.83264,0.82992,0.87,0.67892,0.79239,0.71025,0.86884,0.000265811,0.000265811,0.000265811
44,2182.05,0.87298,0.83692,0.88934,0.82764,0.83201,0.86935,0.67962,0.78545,0.69594,0.86884,0.000261307,0.000261307,0.000261307
45,2230.79,0.87649,0.82974,0.88673,0.84892,0.83684,0.87702,0.68028,0.79578,0.69095,0.87025,0.000256802,0.000256802,0.000256802
46,2279.94,0.88913,0.85972,0.89255,0.84707,0.83938,0.87702,0.68344,0.78115,0.68539,0.86813,0.000252298,0.000252298,0.000252298
47,2327.92,0.87182,0.8211,0.88504,0.85245,0.83814,0.87646,0.67713,0.79,0.69638,0.8713,0.000247793,0.000247793,0.000247793
48,2376.64,0.88411,0.83305,0.88843,0.89857,0.82644,0.88161,0.68743,0.78301,0.68916,0.86914,0.000243289,0.000243289,0.000243289
49,2424.89,0.86263,0.8117,0.88429,0.87723,0.83975,0.88607,0.69463,0.77417,0.66876,0.86592,0.000238784,0.000238784,0.000238784
50,2472.6,0.85483,0.78475,0.88475,0.85921,0.8509,0.88625,0.69474,0.7753,0.6702,0.8651,0.00023428,0.00023428,0.00023428
51,2520.09,0.8887,0.8146,0.88283,0.85548,0.86222,0.88863,0.68941,0.77918,0.67423,0.86684,0.000229775,0.000229775,0.000229775
52,2568.38,0.85371,0.78224,0.88145,0.90497,0.82112,0.8897,0.6928,0.79092,0.67746,0.86809,0.00022527,0.00022527,0.00022527
53,2616.2,0.84539,0.7816,0.88354,0.89332,0.84672,0.89729,0.69811,0.77558,0.66762,0.86599,0.000220766,0.000220766,0.000220766
54,2664.21,0.8669,0.7966,0.88426,0.87744,0.86007,0.8984,0.70309,0.78227,0.6661,0.86597,0.000216261,0.000216261,0.000216261
55,2713.76,0.85388,0.7691,0.8768,0.88822,0.85805,0.89842,0.69874,0.77016,0.65313,0.86427,0.000211757,0.000211757,0.000211757
56,2762.33,0.85561,0.77458,0.87802,0.90742,0.85376,0.89988,0.70446,0.77092,0.65236,0.8645,0.000207252,0.000207252,0.000207252
57,2810.89,0.83716,0.76074,0.87889,0.88916,0.86831,0.9001,0.70276,0.76343,0.64765,0.86449,0.000202748,0.000202748,0.000202748
58,2860.89,0.84498,0.77345,0.87368,0.892,0.86252,0.89849,0.70008,0.77363,0.65872,0.86337,0.000198244,0.000198244,0.000198244
59,2910.54,0.85297,0.76799,0.87912,0.90613,0.86807,0.90725,0.70685,0.77409,0.64985,0.86577,0.000193739,0.000193739,0.000193739
60,2961.73,0.85172,0.76606,0.87751,0.92337,0.86375,0.9136,0.7164,0.77063,0.63719,0.86592,0.000189235,0.000189235,0.000189235
61,3010.78,0.83926,0.75086,0.8762,0.90833,0.87012,0.91213,0.70934,0.77239,0.6348,0.86526,0.00018473,0.00018473,0.00018473
62,3060.01,0.85417,0.76698,0.87678,0.90865,0.86664,0.91133,0.71563,0.7626,0.64083,0.86241,0.000180226,0.000180226,0.000180226
63,3111.61,0.87588,0.77276,0.87761,0.91482,0.86527,0.91316,0.71289,0.76759,0.63666,0.86191,0.000175721,0.000175721,0.000175721
64,3161.76,0.85162,0.77731,0.8772,0.91325,0.86591,0.9115,0.71314,0.76789,0.6326,0.86212,0.000171217,0.000171217,0.000171217
